MANUFACTURER/DISTRIBUTOR DETAIL,,,,,,,,,,
,,,,,,,,,,
BUSINESS NAME,BARBADOS ADDRESS,TEL #1,TEL #2,FAX #,ADDRESS #2,ADDRESS #3,EMAIL ADDRESS #1,EMAIL ADDRESS #2,WEBSITE ADDRESS LINK,OTHER DETAIL/BRIEF BIO ON COMPANY
A M ENTERPRISES,"Unit 8, Newton Industrial Park, CHRIST CHURCH, Christ Church, Barbados",,,,,,,,,
ARMSTRONG AGENCIES,"Lot 2 Lower Estate, St. Michael",246-436-9308             ,246-426-2767,246-429-2767,,,,,,
BANKS BARBADOS BREWERIES LTD,"Newton, Christ Church",246-227-6700,,246-427-0772,,,,,,
BARBADOS DAIRY INDUSTRIES LTD,,,,,,,,,,
ROBERTS MANUFACTURING LTD,,,,,,,,,,
ROSE & LAFLAMME BARBADOS LTD,"Building #9, Newton Industrial Park, Christ Church",246-428-4112,,246-420-8523,,,,,www.roselaflamme.com,
MOUNT GAY RUM DISTILLERIES LTD,,,,,,,,,,
THE WEST INDIES RUM DISTILLERY LTD,,,,,,,,,,
WIBISCO,,,,,,,,,,
BARBADOS BOTTLING CO LTD,,,,,,,,,,
C & G STAR TRADING CO LTD,,,,,,,,,,
AGAPEY CHOCOLATE FACTORY,"Cloister Building, Hincks St, Bridgetown, St. Michael",246-426-8505,,,,,,,www.agapey.com,
BIBI SNACKS INC,,,,,,,,,,
CARIBBEAN CONFECTIONERY COMPANY (1959) LTD,,,,,,,,,,
DELISH PRODUCTS,,,,,,,,,,
EXOTICA CONDIMENTS,"156 Rowans Park, St. George",246-230-4284,,,,,,,,
WEST INDIES SUGAR TRADING,,,,,,,,,,
BIRDS NEST FOODS,,,,,,,,,,
R L SEALE,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
